,0
1441,5546527
1442,5546526
1443,5546525
1444,5546524
1445,5546523
1446,5546522
1447,5546521
1448,5546520
1449,5546519
1450,5546517
1451,5546103
1452,5544358
1453,5544305
1454,5544302
1455,5544301
1456,5544300
1457,5544299
1458,5544298
1459,5544297
1460,5544296
1461,5544288
1462,5544285
1463,5544050
1464,5544048
1465,5542040
1466,5542039
1467,5542024
1468,5542023
1469,5541620
1470,5539872
1471,5539871
1472,5539870
1473,5539869
1474,5539658
1475,5537662
1476,5537630
1477,5537628
1478,5537618
1479,5537530
1480,5537529
1481,5537528
1482,5537526
1483,5537525
1484,5535422
1485,5535403
1486,5535324
1487,5535323
1488,5535321
1489,5535320
1490,5535319
1491,5535318
1492,5534887
1493,5533184
1494,5533183
1495,5533182
1496,5532920
1497,5530961
1498,5530942
1499,5530796
1500,5530795
1501,5530794
1502,5530645
1503,5528746
1504,5528745
1505,5528744
1506,5528743
1507,5528742
1508,5528739
1509,5526481
1510,5526480
1511,5526478
1512,5526475
1513,5526021
1514,5524201
1515,5524200
1516,5524199
1517,5524198
1518,5524197
1519,5524196
1520,5524194
1521,5524193
1522,5524192
1523,5524191
1524,5524190
1525,5522026
1526,5522025
1527,5522024
1528,5521841
1529,5519828
1530,5519827
1531,5517655
1532,5517621
1533,5517607
1534,5517606
1535,5517209
1536,5515497
1537,5515496
1538,5515495
1539,5515494
1540,5515493
1541,5515492
1542,5515491
1543,5515490
1544,5515486
1545,5513342
1546,5513311
1547,5513310
1548,5513309
1549,5513308
1550,5513306
1551,5513305
1552,5513304
1553,5511159
1554,5510980
1555,5508940
1556,5508717
1557,5506985
1558,5506952
1559,5506951
1560,5504891
1561,5504854
1562,5504853
1563,5504852
1564,5504851
1565,5504850
1566,5504848
1567,5502806
1568,5502805
1569,5502804
1570,5502803
1571,5500938
1572,5500937
1573,5500936
1574,5500935
1575,5500934
1576,5500933
1577,5500932
1578,5500931
1579,5500929
1580,5499373
1581,5499335
1582,5499334
1583,5499333
1584,5499331
1585,5499330
1586,5499329
1587,5499180
1588,5499040
1589,5497455
1590,5497454
1591,5497320
1592,5497041
1593,5495581
1594,5495577
1595,5495567
1596,5495566
1597,5495565
1598,5495268
1599,5493726
1600,5493658
1601,5493642
1602,5493641
1603,5491795
1604,5491785
1605,5491783
1606,5491782
1607,5491781
1608,5491780
1609,5490246
1610,5490245
1611,5490244
1612,5490243
1613,5490242
1614,5488686
1615,5488685
1616,5488390
1617,5487167
1618,5487144
1619,5487143
1620,5485618
1621,5485570
1622,5485569
1623,5485568
1624,5485566
1625,5485373
1626,5485175
1627,5483654
1628,5483633
1629,5483632
1630,5483631
1631,5483629
1632,5481752
1633,5481740
1634,5481668
1635,5481667
1636,5481666
1637,5481665
1638,5481664
1639,5481663
1640,5699535
1641,5699534
1642,5699277
